source_id,source_x,source_y,run,Ts,I,SD,Success,Type
1,72.02679239473956,68.72830044131277,33,14.281612196310627,11,2870.9694150050536,1,Fixed
1,72.02679239473956,68.72830044131277,33,21.125310385184513,13,2967.0266840389104,1,RL
1,72.02679239473956,68.72830044131277,34,17.146689531024084,14,3193.791720006923,1,Fixed
1,72.02679239473956,68.72830044131277,34,5.616153336955614,6,2394.198736750372,1,RL
1,72.02679239473956,68.72830044131277,35,7.744945822971358,10,2973.837481418502,1,Fixed
1,72.02679239473956,68.72830044131277,35,12.867173326532793,10,2408.9882641494696,1,RL
1,72.02679239473956,68.72830044131277,36,7.190316211201619,13,3155.3896751791553,1,Fixed
1,72.02679239473956,68.72830044131277,36,21.815033431430336,16,3548.00623649125,1,RL
1,72.02679239473956,68.72830044131277,37,12.824948221423403,15,3357.306190682131,1,Fixed
1,72.02679239473956,68.72830044131277,37,12.478536217041073,14,3720.525977697388,1,RL
1,72.02679239473956,68.72830044131277,38,12.845059737462051,12,2831.9335442472016,1,Fixed
1,72.02679239473956,68.72830044131277,38,16.513823852543936,17,3969.967684609998,1,RL
1,72.02679239473956,68.72830044131277,39,10.023036232736276,10,2781.8569167063188,1,Fixed
1,72.02679239473956,68.72830044131277,39,13.118517747570872,13,3591.2143981586146,1,RL
1,72.02679239473956,68.72830044131277,40,14.607728412643443,12,3104.014704534085,1,Fixed
1,72.02679239473956,68.72830044131277,40,7.61818690069282,12,2913.9149846432856,1,RL
1,72.02679239473956,68.72830044131277,41,15.883970394639865,13,2982.273772427944,1,Fixed
1,72.02679239473956,68.72830044131277,41,16.372756109829474,14,3897.2507165880693,1,RL
1,72.02679239473956,68.72830044131277,42,8.501531939140841,13,3166.8857186495056,1,Fixed
1,72.02679239473956,68.72830044131277,42,6.808281605886864,13,3029.626545648575,1,RL
1,72.02679239473956,68.72830044131277,43,15.001844274812651,14,2869.792583462225,1,Fixed
1,72.02679239473956,68.72830044131277,43,6.539070244459334,11,2566.075521517626,1,RL
1,72.02679239473956,68.72830044131277,44,18.531403701366536,10,2774.4474014353573,1,Fixed
