n_particles,run,Ts,I,SD,Success,Type
5,150,26.498449685847092,34,1333.2088107340896,1,RL
5,151,25.01048206733466,15,1069.3347069745728,1,Fixed
5,151,18.276113821258495,23,922.3753492792291,1,RL
5,152,15.874153548801473,14,761.3635588890992,1,Fixed
5,152,21.69749247978901,23,1087.3561254240237,1,RL
5,153,83.68614181597,400,836.8614181597001,0,Fixed
5,153,11.261524904831337,400,563.076245241567,0,RL
5,154,16.243272174057232,16,858.7244891570916,1,Fixed
5,154,14.330984590310424,25,720.3908638260594,1,RL
5,155,10.445589533239946,16,656.7210151888922,1,Fixed
5,155,22.886962477969224,32,1189.7150266545013,1,RL
5,156,20.54159386354558,20,1006.7788872786657,1,Fixed
5,156,24.50331608964775,26,1259.9524796252992,1,RL
5,157,16.08437253752405,22,701.4539137435252,1,Fixed
5,157,22.899795835691812,21,1168.8430321991232,1,RL
5,158,70.0517366652103,400,700.517366652103,0,Fixed
5,158,17.956674483365752,25,897.8337241682876,1,RL
5,159,7.789809757100549,17,924.0707127373449,1,Fixed
5,159,18.402527513355842,18,920.1263756677923,1,RL
5,160,9.257835241865696,13,663.8894927401647,1,Fixed
5,160,22.54274032997437,30,1166.7856070585797,1,RL
5,161,17.082222152364615,17,812.3645191501596,1,Fixed
5,161,26.378619601452563,23,1322.2216999962088,1,RL
5,162,22.215252980165435,14,942.9988600214677,1,Fixed
5,162,17.969062654349692,20,913.0004095997762,1,RL
5,163,10.27223263375184,13,614.7779327380244,1,Fixed
5,163,20.444357098166712,28,1022.4701254263565,1,RL
5,164,56.95089495570729,400,569.5089495570729,0,Fixed
5,164,21.38248025380875,29,1142.2839405903685,1,RL
5,165,24.111547407210246,18,840.6015245475708,1,Fixed
5,165,22.995511498017155,18,1149.7755749008577,1,RL
5,166,16.830882685025923,18,831.4147723818136,1,Fixed
5,166,24.519661012876636,32,1237.9967228380592,1,RL
5,167,79.2115179678495,400,792.115179678495,0,Fixed
5,167,5.4043541194499705,400,270.21770597249827,0,RL
5,168,70.85263786441699,400,708.5263786441699,0,Fixed
5,168,18.874068310262903,400,943.7034155131462,0,RL
5,169,70.15738713662772,400,701.5738713662772,0,Fixed
5,169,20.662355967099653,25,1033.1177983549826,1,RL
5,170,15.94700213148669,24,819.2710288990992,1,Fixed
5,170,25.451559829159144,27,1332.4225833099683,1,RL
5,171,68.35525707353834,400,683.5525707353834,0,Fixed
5,171,21.92726256166568,22,1157.2420113498758,1,RL
5,172,20.074994009311574,17,935.4425940162906,1,Fixed
5,172,16.318572589428932,400,817.3264274782629,0,RL
5,173,17.248507584173264,14,755.4366526411154,1,Fixed
5,173,15.770502511268901,21,881.3840587788748,1,RL
5,174,14.421161810594104,29,787.5034007111607,1,Fixed
5,174,19.155622532037594,20,964.7020681146162,1,RL
5,175,12.520474561788891,22,717.9587647998476,1,Fixed
5,175,20.146544649387483,34,1007.3272324693745,1,RL
5,176,20.36633654894939,20,1033.6168006354696,1,Fixed
5,176,23.246132673413175,28,1170.6253388582752,1,RL
5,177,32.10105241147623,16,883.4056267132336,1,Fixed
5,177,21.41254324672653,400,1071.108501824223,0,RL
5,178,14.975260833573014,18,645.0154122229669,1,Fixed
5,178,21.198014480110203,23,1156.5131266425196,1,RL
5,179,84.44857093339378,400,844.4857093339378,0,Fixed
5,179,26.69820948320423,24,1354.3575812472611,1,RL
5,180,8.953794824491606,14,788.8089962262959,1,Fixed
5,180,25.483743286264286,24,1288.0102616599174,1,RL
5,181,7.546238787094064,14,855.9848973101465,1,Fixed
5,181,21.483540314242298,25,1119.5131790184446,1,RL
5,182,33.677140207027975,23,844.1942393837619,1,Fixed
5,182,13.72954739439856,14,686.4773697199279,1,RL
5,183,18.313426831442086,26,845.490736991284,1,Fixed
5,183,22.136162774283253,25,1153.7641137952596,1,RL
5,184,27.852891800271504,17,788.6449537502269,1,Fixed
5,184,17.840073374525108,16,925.2021020527516,1,RL
5,185,72.89738489701867,400,728.9738489701867,0,Fixed
5,185,18.425721253716727,25,954.5842294728504,1,RL
5,186,52.364886246248055,400,523.6488624624806,0,Fixed
5,186,22.927747066035813,22,1208.135420055901,1,RL
5,187,72.75520485693002,400,727.5520485693003,0,Fixed
5,187,24.62035314514772,27,1231.9110841376828,1,RL
5,188,89.32938571119097,400,893.2938571119097,0,Fixed
5,188,7.438307710307833,400,604.2532495810598,0,RL
5,189,20.46630911378766,18,946.4779278529381,1,Fixed
5,189,15.465832219197038,400,783.2349588693916,0,RL
5,190,16.01676441773251,17,883.2765753026886,1,Fixed
5,190,15.188879255955404,28,759.5683303844146,1,RL
5,191,101.53752602802548,400,1015.3752602802548,0,Fixed
5,191,19.705751333386612,20,985.2875666693305,1,RL
5,192,11.927956826474695,17,621.8016171822845,1,Fixed
5,192,21.539185943654825,12,1079.104490516984,1,RL
5,193,16.107125231502,18,764.5531405228153,1,Fixed
5,193,10.842203164146873,400,542.1101582073434,0,RL
5,194,24.45659694168871,22,871.457552995281,1,Fixed
5,194,15.624812863593148,30,782.5711210123251,1,RL
5,195,22.07801693106409,23,799.6898342201937,1,Fixed
5,195,18.557182812630085,29,949.3900672453174,1,RL
